1,3 1/2,2970,1,1180
1,3 1/2,3044,2,980
1,4 1/2,2684,3,960
1,4 1/2,1104,4,1400
1,4 1/2,898,5,2010
1,5 1/2,3202,6,1040
1,3 1/2,1974,7,1930
1,6 1/2,2560,8,1200
1,6 1/2,2880,9,1510
1,3 1/2,2580,10,1540
1,4 1/2,2564,11,1470
1,6 1/2,886,12,810
1,4 1/2,2058,13,1120
1,6 1/2,2540,14,900
1,3 1/2,1810,15,1560
1,6 1/2,1444,16,1020
1,4 1/2,3888,17,1490
1,3 1/2,3618,18,1190
1,5 1/2,3686,19,1980
1,6 1/2,3184,20,1690
1,5 1/2,2584,21,2000
1,5 1/2,1300,22,1210
1,4 1/2,3666,23,1040
1,6 1/2,2676,24,1000
1,5 1/2,3622,25,1130
1,3 1/2,1406,26,1420
1,3 1/2,1328,27,1700
1,5 1/2,1850,28,2120
1,3 1/2,2680,29,1080
1,3 1/2,2800,30,1220
2,5 1/2,3168,1,1770
2,4 1/2,3342,2,1200
2,6 1/2,1988,3,1710
2,4 1/2,3124,4,2160
2,3 1/2,3284,5,1200
2,6 1/2,2134,6,1720
2,3 1/2,1894,7,1900
2,5 1/2,2070,8,1260
2,4 1/2,1202,9,1520
2,6 1/2,1666,10,1570
2,3 1/2,2566,11,1290
2,5 1/2,2632,12,1270
2,6 1/2,2744,13,880
2,3 1/2,3684,14,2010
2,4 1/2,2558,15,820
2,3 1/2,1118,16,1480
2,4 1/2,2866,17,2180
2,5 1/2,2912,18,2070
2,4 1/2,940,19,830
2,3 1/2,1618,20,1820
2,6 1/2,2536,21,1640
2,6 1/2,1240,22,840
2,3 1/2,2020,23,2170
2,5 1/2,3654,24,1520
2,5 1/2,3304,25,1080
2,6 1/2,3606,26,2160
2,3 1/2,3026,27,2130
2,5 1/2,1608,28,1680
2,5 1/2,3304,29,1270
2,3 1/2,1790,30,1950
3,6 1/2,1732,1,1750
3,4 1/2,868,2,950
3,6 1/2,1798,3,1590
3,6 1/2,2098,4,1700
3,4 1/2,2954,5,1090
3,6 1/2,1286,6,2110
3,3 1/2,1030,7,1730
3,5 1/2,3290,8,2020
3,3 1/2,2316,9,1890
3,6 1/2,1640,10,1190
3,3 1/2,3714,11,1030
3,4 1/2,878,12,1920
3,5 1/2,1730,13,1080
3,5 1/2,3278,14,1250
3,4 1/2,1248,15,1980
3,6 1/2,2072,16,1120
3,4 1/2,2052,17,1600
3,6 1/2,2656,18,1810
3,4 1/2,2272,19,1010
3,3 1/2,2692,20,2030
3,5 1/2,1652,21,1530
3,6 1/2,1824,22,1600
3,6 1/2,2320,23,1230
3,6 1/2,990,24,1890
3,4 1/2,1132,25,1450
