1,99,2022-07-21,2024-07-20
2,98,2021-08-19,2023-12-14
3,97,2021-09-22,2023-12-21
4,96,2022-07-09,2023-10-08
5,95,2021-10-20,2023-11-10
6,94,2022-06-20,2024-01-25
7,93,2022-01-13,2023-11-11
8,92,2022-01-26,2023-12-22
9,91,2022-06-24,2023-12-25
10,90,2022-02-12,2024-02-08
11,89,2021-08-15,2024-03-08
12,88,2022-06-07,2024-01-17
13,87,2021-12-04,2024-04-08
14,86,2021-09-22,2023-12-02
15,85,2022-07-22,2024-04-09
16,84,2021-11-13,2023-08-04
17,83,2022-05-06,2024-05-01
18,82,2022-05-28,2023-09-11
19,81,2021-08-11,2024-03-24
20,80,2022-06-26,2024-02-15
